date,week,ws,tce_usd_day,source,note
2023-02-24,2023-8,62.82,47300,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-8.html,Baltic typo WS4.73; corrected to 62.82 (66.32 minus 3.5)
2023-03-03,2023-9,70.23,54600,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-9.html,
2023-03-10,2023-10,98.55,92522,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-10.html,
2023-03-17,2023-11,93.77,89100,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-11.html,
2023-03-24,2023-12,90.32,83000,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-12.html,
2023-03-31,2023-13,80.05,68900,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-13.html,
2023-04-14,2023-15,72.64,56017,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-15.html,
2023-04-21,2023-16,65.32,47100,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-16.html,
2023-04-28,2023-17,56.64,36400,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-17.html,
2023-05-05,2023-18,46.41,27400,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-18.html,
2023-05-12,2023-19,40.45,15500,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-19.html,
2023-05-19,2023-20,49.73,27500,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-20.html,
2023-05-26,2023-21,50.14,27800,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-21.html,
2023-06-02,2023-22,44.95,22300,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-22.html,
2023-06-09,2023-23,48.36,24978,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-23.html,
2023-06-16,2023-24,83.41,73500,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-24.html,
2023-06-23,2023-25,66.73,48700,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-25.html,
2023-06-30,2023-26,51.71,29700,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-26.html,
2023-07-07,2023-27,53.96,32900,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-27.html,
2023-07-14,2023-28,51.23,29200,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-28.html,
2023-07-21,2023-29,52.42,31200,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-29.html,
2023-07-28,2023-30,51.33,27800,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-30.html,
2023-08-04,2023-31,48.5,22200,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-31.html,
2023-08-11,2023-32,47.29,19431,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-32.html,
2023-08-18,2023-33,46.21,18000,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-33.html,TCE not stated in report; interpolated
2023-08-25,2023-34,44.13,16688,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-34.html,
2023-09-01,2023-35,39.71,10173,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-35.html,
2023-09-08,2023-36,36.46,4661,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-36.html,
2023-09-15,2023-37,37,4244,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-37.html,
2023-09-22,2023-38,49.88,21852,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-38.html,
2023-09-29,2023-39,50.71,21812,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-39.html,
2023-10-06,2023-40,37.08,5640,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-40.html,
2023-10-13,2023-41,53.04,27963,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-41.html,
2023-10-20,2023-42,55.54,28774,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-42.html,
2023-10-27,2023-43,56.38,31477,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-43.html,
